,0
486,"Decatur County, Indiana"
487,"Decatur County, Tennessee"
488,"Defiance County, Ohio"
489,"Del Norte County, California"
490,"Delaware County, Indiana"
491,"Delaware County, New York"
492,"Delaware County, Ohio"
493,"Delaware County, Oklahoma"
494,"Delaware County, Pennsylvania"
495,"Delta County, Colorado"
496,"Delta County, Michigan"
497,"Denton County, Texas"
498,"Denver County, Colorado"
499,"Des Moines County, Iowa"
500,"Deschutes County, Oregon"
501,"Desha County, Arkansas"
502,"Dickinson County, Iowa"
503,"Dickinson County, Kansas"
504,"Dickinson County, Michigan"
505,"Dickson County, Tennessee"
506,"Dillon County, South Carolina"
507,"Dimmit County, Texas"
508,"Dinwiddie County, Virginia"
509,"Dodge County, Minnesota"
510,"Dodge County, Nebraska"
511,"Dodge County, Wisconsin"
512,"Dooly County, Georgia"
513,"Door County, Wisconsin"
514,"Dorchester County, Maryland"
515,"Dorchester County, South Carolina"
516,"Dougherty County, Georgia"
517,"Douglas County, Colorado"
518,"Douglas County, Georgia"
519,"Douglas County, Illinois"
520,"Douglas County, Kansas"
521,"Douglas County, Minnesota"
522,"Douglas County, Nebraska"
523,"Douglas County, Nevada"
524,"Douglas County, Oregon"
525,"Douglas County, Washington"
526,"Douglas County, Wisconsin"
527,"Drew County, Arkansas"
528,"DuPage County, Illinois"
529,"Dubois County, Indiana"
530,"Dubuque County, Iowa"
531,"Dukes County, Massachusetts"
532,"Dunklin County, Missouri"
533,"Dunn County, Wisconsin"
534,"Duplin County, North Carolina"
535,"Durham County, North Carolina"
536,"Dutchess County, New York"
537,"Duval County, Florida"
538,"Dyer County, Tennessee"
539,"Eagle County, Colorado"
540,"Eastland County, Texas"
541,"Eaton County, Michigan"
542,"Eau Claire County, Wisconsin"
543,"Ector County, Texas"
544,"Eddy County, New Mexico"
545,"Edgecombe County, North Carolina"
546,"Edgefield County, South Carolina"
547,"Effingham County, Georgia"
548,"Effingham County, Illinois"
549,"El Dorado County, California"
550,"El Paso County, Colorado"
551,"El Paso County, Texas"
552,"Elbert County, Colorado"
553,"Elbert County, Georgia"
554,"Elk County, Pennsylvania"
555,"Elkhart County, Indiana"
556,"Elko County, Nevada"
557,"Ellis County, Kansas"
558,"Ellis County, Texas"
559,"Elmore County, Alabama"
560,"Elmore County, Idaho"
561,"Emanuel County, Georgia"
562,"Emmet County, Michigan"
563,"Erath County, Texas"
564,"Erie County, New York"
565,"Erie County, Ohio"
566,"Erie County, Pennsylvania"
567,"Escambia County, Alabama"
568,"Escambia County, Florida"
569,"Essex County, Massachusetts"
570,"Essex County, New Jersey"
571,"Essex County, New York"
572,"Etowah County, Alabama"
573,"Fairfax County, Virginia"
574,"Fairfield County, Connecticut"
575,"Fairfield County, Ohio"
576,"Fairfield County, South Carolina"
577,"Falls County, Texas"
578,"Fannin County, Georgia"
579,"Fannin County, Texas"
580,"Faulkner County, Arkansas"
581,"Fauquier County, Virginia"
582,"Fayette County, Georgia"
583,"Fayette County, Illinois"
584,"Fayette County, Kentucky"
585,"Fayette County, Ohio"
586,"Fayette County, Pennsylvania"
587,"Fayette County, Tennessee"
588,"Fayette County, Texas"
589,"Fayette County, West Virginia"
590,"Fillmore County, Minnesota"
591,"Finney County, Kansas"
592,"Flagler County, Florida"
593,"Flathead County, Montana"
594,"Florence County, South Carolina"
595,"Floyd County, Georgia"
596,"Floyd County, Indiana"
597,"Floyd County, Iowa"
598,"Floyd County, Kentucky"
599,"Fluvanna County, Virginia"
600,"Fond du Lac County, Wisconsin"
601,"Ford County, Kansas"
602,"Forrest County, Mississippi"
603,"Forsyth County, Georgia"
604,"Forsyth County, North Carolina"
605,"Fort Bend County, Texas"
606,"Fountain County, Indiana"
607,"Franklin County, Alabama"
608,"Franklin County, Arkansas"
609,"Franklin County, Georgia"
610,"Franklin County, Illinois"
611,"Franklin County, Indiana"
612,"Franklin County, Iowa"
613,"Franklin County, Kansas"
614,"Franklin County, Kentucky"
615,"Franklin County, Maine"
616,"Franklin County, Massachusetts"
617,"Franklin County, Missouri"
618,"Franklin County, New York"
619,"Franklin County, North Carolina"
620,"Franklin County, Ohio"
621,"Franklin County, Pennsylvania"
622,"Franklin County, Tennessee"
623,"Franklin County, Texas"
624,"Franklin County, Vermont"
625,"Franklin County, Virginia"
626,"Franklin County, Washington"
627,"Frederick County, Maryland"
628,"Frederick County, Virginia"
629,"Freeborn County, Minnesota"
630,"Freestone County, Texas"
631,"Fremont County, Colorado"
632,"Fremont County, Wyoming"
633,"Fresno County, California"
634,"Frio County, Texas"
635,"Fulton County, Georgia"
